calendar_id,equipment_id,component_id,event_type,window_start,failure_date,lead_window_days,midpoint,k,false_start_cutoff,false_start_decay_days
409,66,5,Failure,2024-11-25,2024-12-05,10,0.45,12,,
410,66,6,Failure,2025-04-01,2025-04-19,18,0.6,10,,
411,66,3,FalseStart,2024-12-05,,21,0.6,9,0.63,5
412,66,9,FalseStart,2025-08-27,,26,0.65,9,0.65,5
413,67,10,Failure,2024-10-22,2024-11-09,18,0.6,9,,
414,67,3,Failure,2026-03-26,2026-04-14,19,0.6,9,,
415,67,2,Failure,2024-08-03,2024-08-11,8,0.5,10,,
416,67,8,Failure,2026-02-08,2026-03-15,35,0.7,8,,
417,67,1,Failure,2026-05-16,2026-05-30,14,0.55,10,,
418,67,7,FalseStart,2025-07-04,,31,0.75,12,0.6,4
419,67,12,FalseStart,2026-04-16,,10,0.5,11,0.48,6
420,68,5,Failure,2025-11-25,2025-12-03,8,0.45,12,,
421,68,1,Failure,2025-06-10,2025-06-26,16,0.55,10,,
422,68,3,Failure,2025-04-21,2025-05-16,25,0.6,9,,
423,68,3,FalseStart,2024-12-25,,20,0.6,9,0.47,6
424,69,3,Failure,2025-06-24,2025-07-09,15,0.6,9,,
425,69,11,Failure,2025-11-10,2025-11-20,10,0.55,10,,
426,69,7,Failure,2024-08-01,2024-09-04,34,0.75,12,,
427,69,11,Failure,2025-07-17,2025-07-26,9,0.55,10,,
428,69,11,Failure,2025-04-13,2025-04-27,14,0.55,10,,
429,69,1,Failure,2026-02-28,2026-03-17,17,0.55,10,,
430,69,3,FalseStart,2025-03-24,,25,0.6,9,0.51,4
431,69,1,FalseStart,2025-07-25,,15,0.55,10,0.51,8
432,70,9,Failure,2026-04-27,2026-05-17,20,0.65,9,,
433,70,5,Failure,2025-06-23,2025-07-02,9,0.45,12,,
434,70,12,Failure,2024-08-09,2024-08-19,10,0.5,11,,
435,70,7,Failure,2024-09-24,2024-10-25,31,0.75,12,,
436,70,7,FalseStart,2024-09-11,,38,0.75,12,0.61,6
437,71,5,Failure,2026-04-02,2026-04-10,8,0.45,12,,
438,72,4,Failure,2026-06-08,2026-06-17,9,0.5,11,,
439,72,6,Failure,2025-11-27,2025-12-11,14,0.6,10,,
440,72,4,Failure,2024-12-09,2024-12-16,7,0.5,11,,
441,72,7,Failure,2025-02-27,2025-04-01,33,0.75,12,,
442,72,3,Failure,2025-03-06,2025-03-23,17,0.6,9,,
443,72,6,Failure,2025-08-16,2025-09-03,18,0.6,10,,
444,72,1,Failure,2025-11-26,2025-12-14,18,0.55,10,,
445,72,10,FalseStart,2026-02-02,,23,0.6,9,0.43,6
446,72,3,FalseStart,2025-05-24,,15,0.6,9,0.71,5
447,73,8,Failure,2024-12-20,2025-01-15,26,0.7,8,,
448,73,2,Failure,2026-02-06,2026-02-21,15,0.5,10,,
449,73,3,Failure,2025-04-27,2025-05-17,20,0.6,9,,
450,73,4,Failure,2025-03-08,2025-03-22,14,0.5,11,,
451,73,7,Failure,2025-06-06,2025-07-12,36,0.75,12,,
452,73,8,Failure,2024-09-11,2024-10-05,24,0.7,8,,
453,73,12,FalseStart,2025-05-21,,6,0.5,11,0.71,4
454,73,10,FalseStart,2025-11-12,,23,0.6,9,0.67,4
455,74,10,Failure,2024-09-01,2024-09-23,22,0.6,9,,
456,74,4,Failure,2025-12-10,2025-12-23,13,0.5,11,,
457,74,8,Failure,2025-03-25,2025-04-26,32,0.7,8,,
458,74,8,Failure,2025-07-20,2025-08-17,28,0.7,8,,
459,74,8,FalseStart,2025-02-02,,30,0.7,8,0.46,8
460,75,7,Failure,2026-04-26,2026-06-03,38,0.75,12,,
461,75,8,Failure,2024-12-20,2025-01-17,28,0.7,8,,
462,75,2,Failure,2026-04-06,2026-04-20,14,0.5,10,,
463,75,7,Failure,2026-05-07,2026-06-08,32,0.75,12,,
464,75,2,Failure,2025-11-04,2025-11-12,8,0.5,10,,
465,75,7,Failure,2025-04-09,2025-05-08,29,0.75,12,,
466,75,8,FalseStart,2026-05-20,,33,0.7,8,0.49,7
467,75,4,FalseStart,2024-11-06,,9,0.5,11,0.42,4
468,76,4,Failure,2025-08-27,2025-09-04,8,0.5,11,,
469,76,4,Failure,2026-01-15,2026-01-22,7,0.5,11,,
470,76,10,Failure,2025-07-26,2025-08-12,17,0.6,9,,
471,76,1,Failure,2026-05-05,2026-05-22,17,0.55,10,,
472,76,3,FalseStart,2025-08-29,,20,0.6,9,0.65,5
473,77,4,Failure,2026-01-19,2026-01-29,10,0.5,11,,
474,77,3,Failure,2025-10-04,2025-10-20,16,0.6,9,,
475,77,2,Failure,2026-01-29,2026-02-07,9,0.5,10,,
476,77,11,Failure,2025-11-20,2025-12-02,12,0.55,10,,
477,77,5,Failure,2025-06-05,2025-06-11,6,0.45,12,,
478,77,10,Failure,2026-02-08,2026-02-27,19,0.6,9,,
479,77,7,Failure,2026-04-10,2026-05-13,33,0.75,12,,
480,77,4,FalseStart,2025-11-13,,12,0.5,11,0.48,5
481,77,4,FalseStart,2024-12-10,,11,0.5,11,0.6,4
482,78,8,Failure,2024-07-13,2024-08-04,22,0.7,8,,
483,78,2,Failure,2024-11-29,2024-12-14,15,0.5,10,,
484,78,12,Failure,2025-08-31,2025-09-08,8,0.5,11,,
485,78,5,FalseStart,2026-02-01,,8,0.45,12,0.52,7
486,79,2,Failure,2025-04-18,2025-04-30,12,0.5,10,,
487,79,2,Failure,2025-03-21,2025-04-02,12,0.5,10,,
488,79,12,Failure,2026-02-13,2026-02-25,12,0.5,11,,
489,79,9,Failure,2024-08-26,2024-09-24,29,0.65,9,,
490,79,2,Failure,2024-12-28,2025-01-05,8,0.5,10,,
491,79,6,FalseStart,2025-07-10,,20,0.6,10,0.43,4
492,79,8,FalseStart,2025-10-28,,29,0.7,8,0.42,4
493,81,1,Failure,2024-07-20,2024-08-04,15,0.55,10,,
494,81,8,Failure,2025-03-16,2025-04-13,28,0.7,8,,
495,81,9,Failure,2025-11-27,2025-12-26,29,0.65,9,,
496,81,4,Failure,2025-11-14,2025-11-22,8,0.5,11,,
497,81,4,Failure,2025-03-22,2025-04-04,13,0.5,11,,
498,81,11,Failure,2024-07-18,2024-07-26,8,0.55,10,,
499,81,7,Failure,2025-06-05,2025-07-07,32,0.75,12,,
500,81,4,FalseStart,2025-04-17,,12,0.5,11,0.58,6
501,81,7,FalseStart,2025-04-19,,39,0.75,12,0.52,4
502,82,3,Failure,2026-01-12,2026-01-27,15,0.6,9,,
503,82,4,Failure,2025-12-30,2026-01-08,9,0.5,11,,
504,82,1,FalseStart,2026-04-28,,12,0.55,10,0.59,5
505,83,1,Failure,2025-07-25,2025-08-06,12,0.55,10,,
506,83,4,Failure,2024-07-31,2024-08-13,13,0.5,11,,
507,83,1,Failure,2024-08-31,2024-09-18,18,0.55,10,,
508,83,4,Failure,2026-01-10,2026-01-22,12,0.5,11,,
509,83,9,FalseStart,2025-01-02,,30,0.65,9,0.47,6
510,84,7,Failure,2025-09-22,2025-10-27,35,0.75,12,,
511,84,5,Failure,2025-12-02,2025-12-08,6,0.45,12,,
512,84,4,Failure,2025-04-14,2025-04-23,9,0.5,11,,
513,84,1,FalseStart,2025-06-02,,16,0.55,10,0.73,5
514,85,6,Failure,2025-10-09,2025-10-19,10,0.6,10,,
515,85,8,Failure,2025-08-23,2025-09-24,32,0.7,8,,
516,85,2,Failure,2026-03-08,2026-03-21,13,0.5,10,,
517,85,10,FalseStart,2026-05-11,,25,0.6,9,0.55,4
518,86,8,Failure,2025-09-28,2025-11-01,34,0.7,8,,
519,86,7,Failure,2025-08-06,2025-09-13,38,0.75,12,,
520,86,6,Failure,2026-03-16,2026-04-01,16,0.6,10,,
521,86,6,FalseStart,2024-08-09,,10,0.6,10,0.58,8
522,87,5,Failure,2024-08-25,2024-09-03,9,0.45,12,,
523,87,7,Failure,2024-12-11,2025-01-15,35,0.75,12,,
524,87,6,Failure,2025-03-28,2025-04-12,15,0.6,10,,
525,87,8,Failure,2025-01-17,2025-02-16,30,0.7,8,,
526,87,8,Failure,2024-08-31,2024-10-02,32,0.7,8,,
527,87,10,Failure,2025-11-23,2025-12-10,17,0.6,9,,
528,87,1,FalseStart,2026-05-03,,12,0.55,10,0.69,5
529,87,9,FalseStart,2025-03-22,,30,0.65,9,0.44,6
530,88,10,Failure,2025-03-22,2025-04-11,20,0.6,9,,
531,88,6,Failure,2025-10-16,2025-10-31,15,0.6,10,,
532,88,2,Failure,2025-09-19,2025-09-27,8,0.5,10,,
533,88,2,FalseStart,2025-03-09,,12,0.5,10,0.74,4
534,89,5,Failure,2025-03-13,2025-03-21,8,0.45,12,,
535,89,1,Failure,2024-09-04,2024-09-21,17,0.55,10,,
536,89,9,Failure,2024-09-14,2024-10-10,26,0.65,9,,
537,89,9,FalseStart,2025-01-06,,20,0.65,9,0.68,4
538,90,11,Failure,2025-04-30,2025-05-11,11,0.55,10,,
539,90,1,Failure,2026-03-30,2026-04-11,12,0.55,10,,
540,90,4,Failure,2025-11-21,2025-12-05,14,0.5,11,,
541,90,1,Failure,2026-01-05,2026-01-18,13,0.55,10,,
542,90,7,FalseStart,2025-09-22,,31,0.75,12,0.6,7
543,91,4,Failure,2026-04-14,2026-04-26,12,0.5,11,,
544,91,11,Failure,2026-06-20,2026-07-01,11,0.55,10,,
545,91,2,Failure,2024-12-31,2025-01-10,10,0.5,10,,
546,91,8,FalseStart,2025-04-18,,34,0.7,8,0.41,4
547,92,4,Failure,2026-04-19,2026-05-01,12,0.5,11,,
548,93,12,Failure,2026-05-02,2026-05-10,8,0.5,11,,
549,94,9,Failure,2024-12-05,2024-12-26,21,0.65,9,,
550,94,1,Failure,2025-09-16,2025-09-30,14,0.55,10,,
551,94,4,Failure,2025-04-20,2025-05-03,13,0.5,11,,
552,94,5,Failure,2024-11-12,2024-11-21,9,0.45,12,,
553,94,11,Failure,2025-12-17,2025-12-30,13,0.55,10,,
554,94,8,Failure,2025-11-25,2025-12-22,27,0.7,8,,
555,94,7,FalseStart,2025-04-27,,34,0.75,12,0.44,4
556,94,8,FalseStart,2025-11-08,,34,0.7,8,0.48,7
557,95,4,Failure,2025-10-11,2025-10-21,10,0.5,11,,
558,95,7,Failure,2025-09-11,2025-10-17,36,0.75,12,,
559,95,4,Failure,2026-05-14,2026-05-28,14,0.5,11,,
560,95,12,Failure,2026-05-17,2026-05-26,9,0.5,11,,
561,95,8,FalseStart,2025-07-26,,27,0.7,8,0.41,5
562,96,10,Failure,2026-04-15,2026-05-06,21,0.6,9,,
563,96,3,Failure,2025-11-04,2025-11-19,15,0.6,9,,
564,96,6,FalseStart,2025-12-27,,11,0.6,10,0.56,4
565,97,1,Failure,2026-05-24,2026-06-03,10,0.55,10,,
566,97,7,Failure,2025-11-25,2025-12-31,36,0.75,12,,
567,97,7,FalseStart,2026-02-19,,29,0.75,12,0.56,5
568,98,3,Failure,2024-12-11,2025-01-04,24,0.6,9,,
569,98,12,Failure,2025-11-18,2025-11-23,5,0.5,11,,
570,98,5,Failure,2026-04-17,2026-04-23,6,0.45,12,,
571,98,8,Failure,2024-12-17,2025-01-07,21,0.7,8,,
572,98,12,FalseStart,2025-05-20,,11,0.5,11,0.68,8
573,99,2,Failure,2026-04-04,2026-04-17,13,0.5,10,,
574,99,2,Failure,2025-03-24,2025-04-07,14,0.5,10,,
575,99,8,Failure,2025-02-04,2025-02-26,22,0.7,8,,
576,99,2,Failure,2026-01-08,2026-01-20,12,0.5,10,,
577,99,9,Failure,2025-10-03,2025-11-01,29,0.65,9,,
578,99,9,FalseStart,2025-04-22,,19,0.65,9,0.55,4
579,99,4,FalseStart,2026-05-06,,12,0.5,11,0.73,4
580,100,4,Failure,2024-10-13,2024-10-21,8,0.5,11,,
581,100,3,Failure,2026-02-06,2026-02-28,22,0.6,9,,
582,100,2,Failure,2024-11-18,2024-11-29,11,0.5,10,,
583,100,7,FalseStart,2025-03-16,,34,0.75,12,0.5,5
584,101,5,Failure,2026-03-04,2026-03-10,6,0.45,12,,
585,101,5,Failure,2024-10-24,2024-11-02,9,0.45,12,,
586,101,5,Failure,2025-12-06,2025-12-11,5,0.45,12,,
587,101,2,Failure,2025-08-29,2025-09-08,10,0.5,10,,
588,101,7,Failure,2025-09-05,2025-10-03,28,0.75,12,,
589,101,9,FalseStart,2024-10-28,,21,0.65,9,0.45,7
590,101,2,FalseStart,2025-11-25,,8,0.5,10,0.54,6
591,102,6,Failure,2025-09-30,2025-10-10,10,0.6,10,,
592,102,5,Failure,2025-07-02,2025-07-07,5,0.45,12,,
593,102,3,Failure,2026-02-14,2026-03-01,15,0.6,9,,
594,102,11,Failure,2026-06-16,2026-06-29,13,0.55,10,,
595,102,6,FalseStart,2025-12-25,,20,0.6,10,0.75,5
596,103,6,Failure,2025-08-16,2025-08-27,11,0.6,10,,
597,103,7,Failure,2026-03-15,2026-04-17,33,0.75,12,,
598,103,3,Failure,2024-10-03,2024-10-22,19,0.6,9,,
599,103,5,Failure,2025-08-06,2025-08-14,8,0.45,12,,
600,103,4,Failure,2025-06-15,2025-06-28,13,0.5,11,,
601,103,5,FalseStart,2026-01-02,,5,0.45,12,0.51,4
602,103,2,FalseStart,2025-08-21,,14,0.5,10,0.59,5
603,104,8,Failure,2025-07-21,2025-08-11,21,0.7,8,,
604,104,4,Failure,2026-02-17,2026-02-27,10,0.5,11,,
605,104,8,Failure,2024-09-12,2024-10-17,35,0.7,8,,
606,104,4,Failure,2024-09-10,2024-09-18,8,0.5,11,,
607,104,8,Failure,2025-05-13,2025-06-13,31,0.7,8,,
608,104,4,FalseStart,2025-04-04,,12,0.5,11,0.69,8
609,104,8,FalseStart,2026-01-24,,21,0.7,8,0.51,4
610,106,8,Failure,2024-10-12,2024-11-02,21,0.7,8,,
611,106,2,Failure,2025-09-17,2025-09-29,12,0.5,10,,
612,106,7,Failure,2025-08-24,2025-09-29,36,0.75,12,,
613,106,1,Failure,2024-10-04,2024-10-15,11,0.55,10,,
614,106,4,Failure,2025-03-22,2025-04-01,10,0.5,11,,
615,106,3,FalseStart,2024-12-14,,19,0.6,9,0.45,6
616,106,7,FalseStart,2025-11-22,,26,0.75,12,0.75,4
617,107,1,Failure,2025-06-22,2025-07-04,12,0.55,10,,
618,107,7,Failure,2026-04-01,2026-04-26,25,0.75,12,,
619,107,11,Failure,2026-02-22,2026-03-05,11,0.55,10,,
620,107,6,Failure,2025-09-10,2025-09-27,17,0.6,10,,
621,107,4,Failure,2025-01-01,2025-01-09,8,0.5,11,,
622,107,9,FalseStart,2024-11-28,,25,0.65,9,0.64,7
623,107,8,FalseStart,2025-10-06,,33,0.7,8,0.68,6
624,108,8,Failure,2025-07-08,2025-07-31,23,0.7,8,,
625,108,7,Failure,2024-11-07,2024-12-05,28,0.75,12,,
626,108,4,Failure,2025-02-10,2025-02-18,8,0.5,11,,
627,108,1,Failure,2026-01-09,2026-01-24,15,0.55,10,,
628,108,2,Failure,2024-12-14,2024-12-23,9,0.5,10,,
629,108,10,Failure,2025-08-30,2025-09-21,22,0.6,9,,
630,108,1,Failure,2025-07-30,2025-08-15,16,0.55,10,,
631,108,2,FalseStart,2026-06-14,,15,0.5,10,0.57,7
632,108,6,FalseStart,2024-12-25,,17,0.6,10,0.44,8
633,109,1,Failure,2026-05-07,2026-05-19,12,0.55,10,,
634,109,4,Failure,2025-10-15,2025-10-28,13,0.5,11,,
635,109,7,Failure,2025-07-10,2025-08-18,39,0.75,12,,
636,109,9,Failure,2025-11-13,2025-12-03,20,0.65,9,,
637,109,8,FalseStart,2025-11-21,,32,0.7,8,0.51,5
638,110,4,Failure,2026-02-17,2026-03-02,13,0.5,11,,
639,110,1,Failure,2025-03-26,2025-04-06,11,0.55,10,,
640,110,4,Failure,2025-09-25,2025-10-05,10,0.5,11,,
641,110,11,Failure,2026-02-01,2026-02-10,9,0.55,10,,
642,110,2,Failure,2026-01-03,2026-01-17,14,0.5,10,,
643,110,5,Failure,2024-11-06,2024-11-14,8,0.45,12,,
644,110,3,FalseStart,2025-05-17,,23,0.6,9,0.44,8
645,110,10,FalseStart,2025-07-03,,15,0.6,9,0.75,8
646,111,6,Failure,2024-12-11,2024-12-28,17,0.6,10,,
647,111,5,Failure,2025-05-14,2025-05-21,7,0.45,12,,
648,111,1,Failure,2025-02-17,2025-03-01,12,0.55,10,,
649,111,12,Failure,2024-11-09,2024-11-19,10,0.5,11,,
650,111,2,FalseStart,2025-07-20,,11,0.5,10,0.6,6
651,112,11,Failure,2026-03-23,2026-04-04,12,0.55,10,,
652,112,10,Failure,2024-10-30,2024-11-18,19,0.6,9,,
653,112,3,Failure,2025-01-01,2025-01-15,14,0.6,9,,
654,112,6,Failure,2026-05-23,2026-06-06,14,0.6,10,,
655,112,3,FalseStart,2025-04-02,,18,0.6,9,0.6,7
656,113,1,Failure,2025-12-12,2025-12-26,14,0.55,10,,
657,113,2,Failure,2024-12-19,2025-01-02,14,0.5,10,,
658,113,9,Failure,2024-11-20,2024-12-16,26,0.65,9,,
659,113,7,FalseStart,2026-05-14,,30,0.75,12,0.59,8
660,114,3,Failure,2025-09-19,2025-10-03,14,0.6,9,,
661,114,11,Failure,2026-05-07,2026-05-20,13,0.55,10,,
662,114,9,Failure,2025-11-13,2025-12-04,21,0.65,9,,
663,114,5,Failure,2025-06-27,2025-07-04,7,0.45,12,,
664,114,8,Failure,2026-02-08,2026-03-08,28,0.7,8,,
665,114,8,Failure,2024-09-24,2024-10-21,27,0.7,8,,
666,114,11,FalseStart,2026-05-11,,9,0.55,10,0.6,4
667,114,3,FalseStart,2026-02-07,,14,0.6,9,0.44,4
668,115,4,Failure,2024-11-30,2024-12-12,12,0.5,11,,
669,115,1,Failure,2024-11-30,2024-12-11,11,0.55,10,,
670,115,1,Failure,2026-06-10,2026-06-22,12,0.55,10,,
671,115,12,Failure,2025-09-29,2025-10-05,6,0.5,11,,
672,115,6,FalseStart,2026-06-19,,12,0.6,10,0.43,6
673,116,11,Failure,2025-09-09,2025-09-18,9,0.55,10,,
674,116,2,Failure,2024-09-27,2024-10-08,11,0.5,10,,
675,116,8,Failure,2026-01-30,2026-02-19,20,0.7,8,,
676,116,11,Failure,2024-11-24,2024-12-03,9,0.55,10,,
677,116,11,Failure,2025-06-17,2025-06-29,12,0.55,10,,
678,116,2,FalseStart,2026-01-13,,12,0.5,10,0.73,5
679,116,10,FalseStart,2026-03-04,,15,0.6,9,0.61,8
680,117,7,Failure,2024-10-05,2024-11-04,30,0.75,12,,
681,117,9,Failure,2024-08-10,2024-08-30,20,0.65,9,,
682,117,1,Failure,2025-05-13,2025-05-27,14,0.55,10,,
683,117,12,Failure,2025-09-06,2025-09-11,5,0.5,11,,
684,117,1,Failure,2026-06-13,2026-06-25,12,0.55,10,,
685,117,7,FalseStart,2024-09-15,,27,0.75,12,0.4,5
686,117,12,FalseStart,2025-06-16,,8,0.5,11,0.54,5
687,118,1,Failure,2025-04-03,2025-04-16,13,0.55,10,,
688,118,1,Failure,2025-12-29,2026-01-13,15,0.55,10,,
689,118,8,Failure,2025-10-17,2025-11-17,31,0.7,8,,
690,118,7,Failure,2025-01-04,2025-02-11,38,0.75,12,,
691,118,2,FalseStart,2025-11-10,,11,0.5,10,0.49,5
692,119,4,Failure,2026-06-03,2026-06-13,10,0.5,11,,
693,119,7,Failure,2026-03-10,2026-04-12,33,0.75,12,,
694,119,6,Failure,2026-02-16,2026-03-02,14,0.6,10,,
695,119,10,Failure,2025-05-23,2025-06-09,17,0.6,9,,
696,119,3,Failure,2025-12-12,2025-12-30,18,0.6,9,,
697,119,4,Failure,2026-05-30,2026-06-09,10,0.5,11,,
698,119,1,FalseStart,2024-09-26,,13,0.55,10,0.59,8
699,119,3,FalseStart,2026-01-29,,17,0.6,9,0.42,5
700,120,4,Failure,2025-08-09,2025-08-17,8,0.5,11,,
701,120,12,Failure,2026-05-26,2026-06-06,11,0.5,11,,
702,120,9,Failure,2025-02-05,2025-02-28,23,0.65,9,,
703,120,4,Failure,2026-02-04,2026-02-15,11,0.5,11,,
704,120,7,FalseStart,2024-07-22,,27,0.75,12,0.57,4
705,121,4,Failure,2025-09-17,2025-09-25,8,0.5,11,,
706,121,11,Failure,2024-09-16,2024-09-26,10,0.55,10,,
707,121,2,Failure,2025-02-25,2025-03-12,15,0.5,10,,
708,121,11,Failure,2024-11-27,2024-12-10,13,0.55,10,,
709,121,11,Failure,2025-06-01,2025-06-11,10,0.55,10,,
710,121,11,FalseStart,2026-06-26,,11,0.55,10,0.48,5
711,121,10,FalseStart,2025-07-24,,25,0.6,9,0.56,4
712,122,2,Failure,2025-01-14,2025-01-23,9,0.5,10,,
713,122,8,Failure,2024-11-12,2024-12-03,21,0.7,8,,
714,122,3,Failure,2026-02-25,2026-03-13,16,0.6,9,,
715,122,2,Failure,2025-12-30,2026-01-14,15,0.5,10,,
716,122,3,Failure,2024-09-30,2024-10-15,15,0.6,9,,
717,122,7,Failure,2024-09-25,2024-10-20,25,0.75,12,,
718,122,11,Failure,2024-12-20,2024-12-30,10,0.55,10,,
719,122,12,FalseStart,2026-03-12,,6,0.5,11,0.5,7
720,122,4,FalseStart,2025-01-19,,14,0.5,11,0.56,5
721,123,12,Failure,2025-10-01,2025-10-06,5,0.5,11,,
722,123,8,Failure,2026-01-16,2026-02-17,32,0.7,8,,
723,123,1,Failure,2024-08-24,2024-09-05,12,0.55,10,,
724,123,2,Failure,2024-07-29,2024-08-09,11,0.5,10,,
725,123,1,Failure,2025-12-02,2025-12-18,16,0.55,10,,
726,123,7,Failure,2025-10-28,2025-11-24,27,0.75,12,,
727,123,1,Failure,2024-07-24,2024-08-08,15,0.55,10,,
728,123,2,FalseStart,2026-04-02,,8,0.5,10,0.52,8
729,123,4,FalseStart,2025-05-28,,14,0.5,11,0.49,5
730,124,10,Failure,2026-03-28,2026-04-21,24,0.6,9,,
731,124,5,Failure,2026-03-01,2026-03-10,9,0.45,12,,
732,124,5,Failure,2025-11-24,2025-12-01,7,0.45,12,,
733,124,3,Failure,2026-05-13,2026-06-05,23,0.6,9,,
734,124,2,FalseStart,2025-05-25,,12,0.5,10,0.67,5
735,125,4,Failure,2025-04-25,2025-05-07,12,0.5,11,,
736,125,7,Failure,2025-06-29,2025-07-24,25,0.75,12,,
737,125,5,Failure,2025-11-30,2025-12-05,5,0.45,12,,
738,125,8,Failure,2024-07-10,2024-08-11,32,0.7,8,,
739,125,7,Failure,2025-04-10,2025-05-17,37,0.75,12,,
740,125,6,FalseStart,2024-09-03,,20,0.6,10,0.6,4
741,125,3,FalseStart,2026-04-25,,24,0.6,9,0.57,5
742,126,3,Failure,2024-08-29,2024-09-19,21,0.6,9,,
743,126,1,Failure,2025-03-06,2025-03-16,10,0.55,10,,
744,126,7,Failure,2024-08-20,2024-09-26,37,0.75,12,,
745,126,3,Failure,2025-12-07,2025-12-31,24,0.6,9,,
746,126,1,Failure,2026-01-28,2026-02-12,15,0.55,10,,
747,126,1,Failure,2025-11-22,2025-12-03,11,0.55,10,,
748,126,10,Failure,2025-05-02,2025-05-19,17,0.6,9,,
749,126,3,FalseStart,2025-06-23,,24,0.6,9,0.58,5
750,126,7,FalseStart,2026-05-22,,39,0.75,12,0.68,5
751,127,9,Failure,2025-04-15,2025-05-14,29,0.65,9,,
752,127,9,Failure,2025-01-05,2025-02-04,30,0.65,9,,
753,127,1,Failure,2025-05-15,2025-06-01,17,0.55,10,,
754,127,8,Failure,2024-08-01,2024-08-22,21,0.7,8,,
755,127,12,Failure,2025-11-03,2025-11-13,10,0.5,11,,
756,127,9,Failure,2026-05-31,2026-06-27,27,0.65,9,,
757,127,11,FalseStart,2024-12-18,,9,0.55,10,0.74,4
758,127,3,FalseStart,2025-05-22,,18,0.6,9,0.7,6
759,128,8,Failure,2025-01-30,2025-02-27,28,0.7,8,,
760,128,8,Failure,2025-12-14,2026-01-04,21,0.7,8,,
761,128,10,Failure,2024-09-26,2024-10-17,21,0.6,9,,
762,128,7,FalseStart,2026-02-08,,40,0.75,12,0.62,5
763,129,4,Failure,2024-12-20,2024-12-27,7,0.5,11,,
764,129,6,Failure,2025-03-02,2025-03-15,13,0.6,10,,
765,129,7,Failure,2024-12-12,2025-01-09,28,0.75,12,,
766,129,6,Failure,2025-10-29,2025-11-13,15,0.6,10,,
767,129,3,Failure,2024-08-05,2024-08-21,16,0.6,9,,
768,129,7,FalseStart,2024-09-01,,28,0.75,12,0.52,4
769,129,3,FalseStart,2025-10-26,,23,0.6,9,0.62,4
770,130,3,Failure,2025-11-20,2025-12-12,22,0.6,9,,
771,130,1,Failure,2026-01-08,2026-01-19,11,0.55,10,,
772,130,1,Failure,2025-03-21,2025-04-08,18,0.55,10,,
773,130,3,Failure,2025-07-16,2025-08-08,23,0.6,9,,
774,130,3,FalseStart,2025-06-20,,19,0.6,9,0.54,4
775,131,3,Failure,2026-01-04,2026-01-28,24,0.6,9,,
776,131,4,Failure,2025-03-07,2025-03-20,13,0.5,11,,
777,131,9,Failure,2024-11-10,2024-11-29,19,0.65,9,,
778,131,5,Failure,2026-06-11,2026-06-19,8,0.45,12,,
779,131,5,Failure,2026-01-28,2026-02-07,10,0.45,12,,
780,131,9,Failure,2025-03-23,2025-04-18,26,0.65,9,,
781,131,7,Failure,2024-07-21,2024-08-28,38,0.75,12,,
782,131,6,FalseStart,2024-09-04,,13,0.6,10,0.46,8
783,131,2,FalseStart,2026-02-26,,12,0.5,10,0.68,6
784,132,9,Failure,2024-09-06,2024-09-24,18,0.65,9,,
785,132,5,Failure,2024-10-26,2024-11-03,8,0.45,12,,
786,132,12,Failure,2025-03-24,2025-04-01,8,0.5,11,,
787,132,10,Failure,2026-01-23,2026-02-07,15,0.6,9,,
788,132,1,FalseStart,2026-03-29,,14,0.55,10,0.56,7
789,133,12,Failure,2026-02-13,2026-02-25,12,0.5,11,,
790,133,9,Failure,2025-11-18,2025-12-09,21,0.65,9,,
791,133,9,Failure,2026-04-09,2026-04-30,21,0.65,9,,
792,133,10,Failure,2025-05-19,2025-06-09,21,0.6,9,,
793,133,1,FalseStart,2026-02-11,,12,0.55,10,0.49,7
794,134,4,Failure,2025-10-31,2025-11-13,13,0.5,11,,
795,134,7,Failure,2025-03-17,2025-04-17,31,0.75,12,,
796,134,10,Failure,2026-03-02,2026-03-24,22,0.6,9,,
797,134,10,Failure,2024-11-08,2024-12-03,25,0.6,9,,
798,134,4,Failure,2025-02-20,2025-02-27,7,0.5,11,,
799,134,9,FalseStart,2025-09-01,,29,0.65,9,0.58,7
800,134,10,FalseStart,2024-10-10,,18,0.6,9,0.49,6
801,135,4,Failure,2025-09-15,2025-09-28,13,0.5,11,,
802,135,5,Failure,2025-09-19,2025-09-26,7,0.45,12,,
803,135,7,Failure,2025-11-05,2025-12-13,38,0.75,12,,
804,135,7,FalseStart,2026-01-30,,27,0.75,12,0.56,8
805,136,4,Failure,2026-05-27,2026-06-09,13,0.5,11,,
806,136,1,Failure,2025-05-08,2025-05-21,13,0.55,10,,
807,136,3,Failure,2026-03-13,2026-04-05,23,0.6,9,,
808,136,7,Failure,2025-09-27,2025-11-05,39,0.75,12,,
809,136,2,Failure,2025-02-25,2025-03-09,12,0.5,10,,
810,136,7,FalseStart,2025-06-22,,27,0.75,12,0.59,8
811,136,8,FalseStart,2025-06-25,,20,0.7,8,0.69,7
812,137,7,Failure,2025-08-20,2025-09-21,32,0.75,12,,
813,137,3,Failure,2025-09-26,2025-10-13,17,0.6,9,,
814,137,1,Failure,2025-02-14,2025-02-24,10,0.55,10,,
815,137,9,Failure,2024-09-15,2024-10-09,24,0.65,9,,
816,137,7,FalseStart,2026-02-20,,35,0.75,12,0.66,7
817,138,8,Failure,2026-05-25,2026-06-27,33,0.7,8,,
